timestamp,ecg,acc,temp,ir,red
1969CC1F335,7EF,NR,NR,1DA18,1D9A5
1969CC1F33C,8BE,NR,NR,NR,NR
1969CC1F340,843,NR,NR,1DB32,1DF12
1969CC1F343,7EA,NR,NR,NR,NR
1969CC1F346,7FB,NR,NR,NR,NR
1969CC1F34A,86B,NR,NR,NR,NR
1969CC1F34D,8B7,NR,NR,1DB32,1DF12
1969CC1F351,873,NR,NR,NR,NR
1969CC1F354,NR,NR,NR,1DB32,1DF12
1969CC1F358,893,NR,NR,NR,NR
1969CC1F35B,8F0,NR,NR,NR,NR
1969CC1F35F,8F9,NR,NR,1DB32,1DF12
1969CC1F362,877,NR,NR,NR,NR
1969CC1F365,859,NR,NR,NR,NR
1969CC1F369,8E6,NR,NR,1D817,1D83B
1969CC1F36C,947,NR,NR,NR,NR
1969CC1F370,946,NR,NR,NR,NR
1969CC1F373,8A9,NR,NR,1D817,1D83B
1969CC1F377,899,NR,NR,NR,NR
1969CC1F37A,8B0,NR,NR,1D817,1D83B
1969CC1F37D,957,NR,NR,NR,NR
1969CC1F381,942,NR,NR,NR,NR
1969CC1F384,8D0,NR,NR,NR,NR
1969CC1F388,88E,NR,NR,1D817,1D83B
1969CC1F38B,8F9,NR,NR,NR,NR
1969CC1F38F,914,NR,NR,NR,NR
1969CC1F392,NR,NR,NR,1D90C,1D8E7
1969CC1F395,846,0.96,NR,NR,NR
1969CC1F399,7E5,NR,NR,NR,NR
1969CC1F39C,863,NR,NR,1D90C,1D8E7
1969CC1F39F,890,NR,NR,NR,NR
1969CC1F3A3,82B,NR,NR,NR,NR
1969CC1F3A6,7B9,NR,NR,1D90C,1D8E7
1969CC1F3AA,7CE,NR,NR,NR,NR
1969CC1F3B0,890,NR,NR,1D90C,1D8E7
1969CC1F3B4,852,NR,NR,NR,NR
1969CC1F3B7,7DD,NR,NR,NR,NR
1969CC1F3BA,7B2,NR,NR,1D8DD,1D920
1969CC1F3BE,851,NR,NR,NR,NR
1969CC1F3C1,87C,NR,NR,NR,NR
1969CC1F3C5,7E1,NR,NR,1D8DD,1D920
1969CC1F3C8,792,NR,NR,NR,NR
1969CC1F3CC,793,NR,NR,NR,NR
1969CC1F3CF,826,NR,NR,1D8DD,1D920
1969CC1F3D2,840,NR,NR,NR,NR
1969CC1F3D6,7DC,NR,NR,NR,NR
1969CC1F3D9,6C2,NR,NR,1D8DD,1D920
1969CC1F3DC,6A9,NR,NR,NR,NR
1969CC1F3E0,NR,NR,NR,1D8FD,1DADF
1969CC1F3E3,8E9,NR,NR,NR,NR
1969CC1F3E7,972,NR,NR,NR,NR
1969CC1F3EA,9E6,NR,NR,NR,NR
1969CC1F3ED,B13,NR,NR,1D8FD,1DADF
1969CC1F3F1,B70,NR,NR,NR,NR
1969CC1F3F4,B77,NR,NR,NR,NR
1969CC1F3F8,950,NR,NR,1D8FD,1DADF
1969CC1F3FB,877,NR,NR,NR,NR
1969CC1F3FE,7C0,NR,NR,NR,NR
1969CC1F402,6D9,NR,NR,1D8FD,1DADF
1969CC1F405,635,NR,NR,NR,NR
1969CC1F409,592,NR,NR,1D912,1D9F1
1969CC1F40C,58F,NR,NR,NR,NR
1969CC1F410,5F1,NR,NR,NR,NR
1969CC1F413,6E2,NR,NR,1D912,1D9F1
1969CC1F416,6D0,NR,NR,NR,NR
1969CC1F41D,6D0,NR,NR,1D912,1D9F1
1969CC1F420,770,NR,NR,NR,NR
1969CC1F424,82A,NR,NR,NR,NR
1969CC1F427,7E9,NR,NR,1D912,1D9F1
1969CC1F42B,7A5,NR,NR,NR,NR
1969CC1F42E,77B,NR,NR,NR,NR
1969CC1F432,81E,NR,NR,1D968,1DA36
1969CC1F435,857,NR,NR,NR,NR
1969CC1F438,7EF,NR,NR,NR,NR
1969CC1F43F,7D5,NR,NR,1D968,1DA36
1969CC1F443,840,NR,NR,NR,NR
1969CC1F446,89E,NR,NR,1D968,1DA36
1969CC1F44A,82E,NR,NR,NR,NR
1969CC1F450,7D9,NR,NR,NR,NR
1969CC1F454,846,NR,NR,1D968,1DA36
1969CC1F457,8CA,NR,NR,NR,NR
1969CC1F45B,836,NR,NR,1D987,1DA55
1969CC1F45E,7EB,NR,NR,NR,NR
1969CC1F461,7FE,NR,NR,NR,NR
1969CC1F465,89D,NR,NR,1D987,1DA55
1969CC1F468,8C7,NR,NR,NR,NR
1969CC1F46C,84C,NR,NR,NR,NR
1969CC1F46F,7FA,NR,NR,1D987,1DA55
1969CC1F473,810,NR,NR,NR,NR
1969CC1F476,86C,NR,NR,NR,NR
1969CC1F479,8B0,NR,NR,1D987,1DA55
1969CC1F480,80F,NR,NR,NR,NR
1969CC1F484,86E,NR,NR,1D606,1DA41
1969CC1F487,8E6,NR,NR,NR,NR
1969CC1F48B,8EB,NR,NR,NR,NR
1969CC1F48E,850,NR,NR,1D606,1DA41
1969CC1F491,84A,NR,28.23,NR,NR
1969CC1F495,871,NR,NR,NR,NR
1969CC1F498,929,0.98,NR,1D606,1DA41
1969CC1F49C,8DE,NR,NR,NR,NR
1969CC1F49F,88B,NR,NR,1D606,1DA41
1969CC1F4A2,872,NR,NR,NR,NR
1969CC1F4A6,8FD,NR,NR,NR,NR
1969CC1F4A9,961,NR,NR,1D933,1DAA2
1969CC1F4AD,8F3,NR,NR,NR,NR
1969CC1F4B0,8AC,NR,NR,NR,NR
1969CC1F4B3,8A1,NR,NR,1D933,1DAA2
1969CC1F4B7,91B,NR,NR,NR,NR
1969CC1F4BA,966,NR,NR,NR,NR
1969CC1F4BD,952,NR,NR,NR,NR
1969CC1F4C1,89F,NR,NR,1D933,1DAA2
1969CC1F4C4,885,NR,NR,NR,NR
1969CC1F4C8,8B7,NR,NR,NR,NR
1969CC1F4CB,93E,NR,NR,1D933,1DAA2
1969CC1F4CF,8B2,NR,NR,NR,NR
1969CC1F4D2,NR,NR,NR,1D8DB,1D923
1969CC1F4D5,855,NR,NR,NR,NR
1969CC1F4D9,897,NR,NR,NR,NR
1969CC1F4DC,8B4,NR,NR,1D8DB,1D923
1969CC1F4E0,830,NR,NR,NR,NR
1969CC1F4E3,7D3,NR,NR,NR,NR
1969CC1F4E6,7F0,NR,NR,1D8DB,1D923
1969CC1F4EA,843,NR,NR,NR,NR
1969CC1F4ED,887,NR,NR,NR,NR
1969CC1F4F1,810,NR,NR,1D8DB,1D923
1969CC1F4F4,7A0,NR,NR,NR,NR
1969CC1F4F7,7A2,NR,NR,NR,NR
1969CC1F4FB,836,NR,NR,1D96A,1D914
1969CC1F4FE,85F,NR,NR,NR,NR
1969CC1F502,7DB,NR,NR,NR,NR
1969CC1F505,762,NR,NR,1D96A,1D914
1969CC1F508,780,NR,NR,NR,NR
1969CC1F50C,82F,NR,NR,NR,NR
1969CC1F50F,82F,NR,NR,1D96A,1D914
1969CC1F513,7C3,NR,NR,NR,NR
1969CC1F516,750,NR,NR,NR,NR
1969CC1F51A,773,NR,NR,1D96A,1D914
1969CC1F51D,82B,NR,NR,NR,NR
1969CC1F520,810,NR,NR,NR,NR
1969CC1F524,NR,NR,NR,1D92B,1D938
1969CC1F527,752,NR,NR,NR,NR
1969CC1F52B,76F,NR,NR,NR,NR
1969CC1F52E,821,NR,NR,1D92B,1D938
1969CC1F531,7DC,NR,NR,NR,NR
1969CC1F535,7A2,NR,NR,NR,NR
1969CC1F538,764,NR,NR,1D92B,1D938
1969CC1F53C,7A5,NR,NR,NR,NR
1969CC1F53F,7F7,NR,NR,NR,NR
1969CC1F542,7D5,NR,NR,1D92B,1D938
1969CC1F546,772,NR,NR,NR,NR
1969CC1F549,755,NR,NR,NR,NR
1969CC1F54D,7FB,NR,NR,1DA3E,1D8FD
1969CC1F550,840,NR,NR,NR,NR
1969CC1F553,83D,NR,NR,NR,NR
1969CC1F557,76D,NR,NR,1DA3E,1D8FD
1969CC1F55A,751,NR,NR,NR,NR
1969CC1F55D,797,NR,NR,NR,NR
1969CC1F561,835,NR,NR,1DA3E,1D8FD
1969CC1F564,7F0,NR,NR,NR,NR
1969CC1F568,790,NR,NR,NR,NR
1969CC1F56B,781,NR,NR,1DA3E,1D8FD
